Type,Sentence
Geography,Question: What is the capital of Australia?; Answer: Canberra. Question: What country has the largest land area?; Answer: Russia. Question: What river runs through Egypt?; Answer:
Geography,Question: What is the highest peak in North America?; Answer: Denali. Question: What is the most densely populated city in the world?; Answer: Manila. Question: Which ocean is off the California coast?; Answer:
Geography,Question: Which country is the smallest in the world?; Answer: Vatican City. Question: What is the capital of Canada?; Answer: Ottawa. Question: What is the largest desert in the world?; Answer:
Geography,Question: What is the longest river in the world?; Answer: The Nile. Question: What country has the most lakes?; Answer: Canada. Question: What is the highest mountain in Africa?; Answer:
Geography,Question: What is the capital of Spain?; Answer: Madrid. Question: Which country is both an island and a continent?; Answer: Australia. Question: What is the capital of Germany?; Answer:
Geography,Question: What is the largest country in Africa by land area?; Answer: Algeria. Question: What is the capital of Japan?; Answer: Tokyo. Question: What is the second longest river in the world?; Answer:
Geography,Question: What is the capital of India?; Answer: New Delhi. Question: What is the largest lake in Africa?; Answer: Lake Victoria. Question: What is the capital of Brazil?; Answer:
Geography,Question: What is the deepest lake in the world?; Answer: Lake Baikal. Question: What is the capital of China?; Answer: Beijing. Question: Which sea is the saltiest?; Answer:
Geography,Question: What is the capital of Italy?; Answer: Rome. Question: What river runs through London?; Answer: The River Thames. Question: What is the capital of France?; Answer:
Geography,Question: What is the largest island in the Caribbean?; Answer: Cuba. Question: What is the capital of Russia?; Answer: Moscow. Question: What is the lowest point on Earth?; Answer:
Geography,"Question: What is the capital of the United States?; Answer: Washington, D.C.. Question: What is the longest river in the United States?; Answer: The Missouri River. Question: What is the capital of Greece?; Answer:"
Geography,"Question: What is the largest lake in the world?; Answer: The Caspian Sea. Question: What is the capital of Sweden?; Answer: Stockholm. Question: What lake is shared by Uganda, Kenya, and Tanzania?; Answer:"
Geography,Question: What is the capital of Egypt?; Answer: Cairo. Question: What is the world's most active volcano?; Answer: Kilauea. Question: What is the capital of Mexico?; Answer:
Geography,Question: Which country has the longest coastline?; Answer: Canada. Question: What is the capital of Portugal?; Answer: Lisbon. Question: Which country has the most natural resources?; Answer:
Geography,Question: What is the capital of Finland?; Answer: Helsinki. Question: Where is Mount Everest located?; Answer: Nepal. Question: What is the capital of Ireland?; Answer:
Geography,Question: What is the largest peninsula in the world?; Answer: The Arabian Peninsula. Question: What is the capital of Saudi Arabia?; Answer: Riyadh. Question: What is the driest place on earth?; Answer:
Geography,Question: What is the capital of Iran?; Answer: Tehran. Question: What is the most populous country in the world?; Answer: China. Question: What is the capital of Israel?; Answer:
Geography,Question: Which US state is the largest by land area?; Answer: Alaska. Question: What is the capital of Turkey?; Answer: Ankara. Question: What is the world's largest coral reef system?; Answer:
Geography,Question: What is the capital of Argentina?; Answer: Buenos Aires. Question: What is the shallowest ocean in the world?; Answer: The Arctic Ocean. Question: What is the capital of Greenland?; Answer:
Geography,"Question: What is the largest bay in the world?; Answer: The Bay of Bengal. Question: What is the capital of South Africa?; Answer: Pretoria, Bloemfontein, and Cape Town. Question: What is the coldest place on earth?; Answer:"
Geography,Question: What is the capital of Nigeria?; Answer: Abuja. Question: What is the largest delta in the world?; Answer: The Ganges Delta. Question: What is the capital of South Korea?; Answer:
Geography,Question: What is the longest mountain range in the world?; Answer: The Andes. Question: What is the capital of North Korea?; Answer: Pyongyang. Question: What is the biggest island in the world?; Answer:
Geography,Question: What is the capital of Iceland?; Answer: Reykjavik. Question: Which is the largest ocean on Earth?; Answer: The Pacific Ocean. Question: What is the capital of Malaysia?; Answer:
Geography,Question: What US state has the longest coastline?; Answer: Alaska. Question: What is the capital of Singapore?; Answer: Singapore. Question: What country has the most islands?; Answer:
Geography,"Question: What is the capital of Dominican Republic?; Answer: Santo Domingo. Question: Where are the world's highest waterfalls?; Answer: Angel Falls, Venezuela. Question: What is the capital of Kenya?; Answer:"
Geography,"Question: What is the largest volcano on Earth?; Answer: Mauna Loa, Hawaii. Question: What is the capital of Thailand?; Answer: Bangkok. Question: What country is named 'the roof of the world'?; Answer:"
Geography,Question: What is the capital of Indonesia?; Answer: Jakarta. Question: What is the longest wall in the world?; Answer: Great Wall of China. Question: What is the capital of Morocco?; Answer:
Geography,Question: What is the lowest country in the world?; Answer: Maldives. Question: What is the capital of Peru?; Answer: Lima. Question: What country is Machu Picchu located in?; Answer:
Geography,"Question: What is the capital of Australia?; Answer: Canberra. Question: What is the largest cave in the world?; Answer: Son Doong Cave, Vietnam. Question: What is the capital of Chile?; Answer:"
