Type,Question,Answer
"History","When was the United States founded?","1776"
"History","Who was the first President of the United States?","George Washington"
"History","When was the Magna Carta signed?","1215"
"History","Who discovered America?","Christopher Columbus"
"History","When did the American Civil War start?","1861"
"History","Who was responsible for the Great Fire of London?","Unknown"
"History","Who invented the telephone?","Alexander Graham Bell"
"History","When was the French Revolution?","1789-1799"
"History","Who discovered gravity?","Isaac Newton"
"History","Who wrote the Declaration of Independence?","Thomas Jefferson"
"History","When was the Great Wall of China built?","Between 7th century BC and 16th century AD"
"History","Who was the longest-reigning British monarch?","Queen Elizabeth II"
"History","When did World War II end?","1945"
"History","Who was the first man to walk on the moon?","Neil Armstrong"
"History","When did the Titanic sink?","1912"
"History","Who assassinated President Lincoln?","John Wilkes Booth"
"History","When was the first atomic bomb dropped?","1945"
"History","Who discovered penicillin?","Alexander Fleming"
"History","When was the United Nations formed?","1945"
"History","Who was the first woman to fly solo across the Atlantic?","Amelia Earhart"
"History","When was the Berlin Wall built?","1961"
"History","Who abolished slavery in the United States?","Abraham Lincoln"
"History","When was Internet invented?","The concept came about in the 1960s, and the World Wide Web was invented in 1989"
"History","Who won the Battle of Waterloo?","The Duke of Wellington"
"History","When did India gain independence?","1947"
"History","Who was the first emperor of China?","Qin Shi Huang"
"History","When was the European Union Formed?","1993"
"History","Who was the first African American to serve as U.S president?","Barack Obama"
"History","When did apartheid end in South Africa?","1994"
"History","Who designed the Eiffel Tower?","Gustave Eiffel"
"History","When was the Renaissance?","The 14th to the 17th century"
"History","Who was the first woman Prime Minister of the United Kingdom?","Margaret Thatcher"
"History","When was the first moon landing?","1969"
"History","Who painted the Sistine Chapel?","Michelangelo"
"History","When was the American Declaration of Independence signed?","1776"
"History","Who led the civil rights movement in the United States?","Martin Luther King Jr."
"History","When did the Great Depression start?","1929"
"History","Who built the Pyramids of Giza?","Pharaohs of Egypt during the Old Kingdom"
"History","When was the Russian Revolution?","1917"
"History","Who discovered the structure of DNA?","James Watson and Francis Crick"
"History","When was the United States Constitution written?","1787"
"History","Who was the last Tsar of Russia?","Nicholas II"
"History","When was the Panama Canal opened?","1914"
"History","Who was the first person in space?","Yuri Gagarin"
"History","When did the Cold War end?","1991"
"History","Who invented the light bulb?","Thomas Edison"
"History","When did Canada gain independence?","1867"
"History","Who wrote the plays Othello, Hamlet, and Romeo and Juliet?","William Shakespeare"
"History","When did the Roman Empire start?","27 BC"
"History","Who wrote the U.S. national anthem?","Francis Scott Key"
"History","When was the first manned flight?","1903"
"History","Who was known as the Maid of Orleans?","Joan of Arc"
"History","When did the Spanish Inquisition begin?","1478"
"History","Who commissioned the Lewis and Clark expedition?","Thomas Jefferson"
"History","When was the Battle of Gettysburg?","1863"
"History","Who won the Spanish-American War?","The United States"
"History","When did the Ottoman Empire fall?","1922"
"History","Who was the first Chancellor of West Germany?","Konrad Adenauer"
"History","When did the Renaissance in Italy begin?","14th Century"
"History","Who discovered the law of the photoelectric effect?","Albert Einstein"
"History","When did China's Cultural Revolution begin?","1966"
"History","Who succeeded Queen Victoria?","King Edward VII"
"History","When was Martin Luther King, Jr.'s ""I Have a Dream"" speech?","1963"
"History","Who discovered radium?","Marie Curie and Pierre Curie"
"History","When did the construction of Machu Picchu likely complete?","1450"
"History","Who wrote The Communist Manifesto?","Karl Marx and Friedrich Engels"
"History","When did the Boston Tea Party happen?","1773"
"History","Who became president of the United States after Franklin D. Roosevelt?","Harry S. Truman"
"History","When did the Korean War begin?","1950"
"History","Who is known as the ""Father of India""?","Mahatma Gandhi"
"History","When did Alaska become a state?","1959"
"History","Who discovered calculus?","Isaac Newton and Gottfried Wilhelm Leibniz"
"History","When was the Industrial Revolution?","Mid-18th to mid-19th Century"
"History","Who was the first Roman Emperor?","Augustus"
"History","When did Napoleon Bonaparte die?","1821"
"History","Who founded Buddhism?","Siddhartha Gautama, the Buddha"
"History","When did the Vietnam War end?","1975"
"History","Who wrote War and Peace?","Leo Tolstoy"
"History","When was the Magna Carta sealed?","1215"
"History","Who was the last monarch of the Tudor dynasty?","Queen Elizabeth I"
